Rank,Name,State,Early_Career_Pay,Mid_Career_Pay,Make_World_Better_Percent,Stem_Percent,University_Name_Clean
18,The University of Tennessee-Martin,Tennessee,44400,78600,58,10,University Tennessee Martin
19,Tennessee State University,Tennessee,47200,78400,68,14,Tennessee State University
20,Freed-Hardeman University,Tennessee,43700,78200,54,9,Freed Hardeman University
20,Austin Peay State University,Tennessee,44200,78200,63,10,Austin Peay State University
22,East Tennessee State University,Tennessee,43700,77300,57,8,East Tennessee State University
23,Carson-Newman University,Tennessee,42700,76500,61,5,Carson Newman University
24,Maryville College,Tennessee,42800,75300,68,16,Maryville College
25,Milligan College,Tennessee,41200,74900,63,5,Milligan College
1,Rice University,Texas,71000,129500,50,45,Rice University
2,The King's University,Texas,63800,116500,33,0,King's University
3,Texas A&M University-College Station,Texas,60600,115700,53,30,Texas A&M University College Station
4,The University of Texas at Austin,Texas,60700,112800,49,28,University Texas Austin
5,Southern Methodist University,Texas,59700,110400,46,22,Southern Methodist University
6,The University of Texas Health Science Center at Houston,Texas,65400,109400,80,14,University Texas Health Science Center Houston
7,Texas Tech University,Texas,56800,106500,54,22,Texas Tech University
8,Texas Tech University Health Sciences Center,Texas,61300,104900,86,3,Texas Tech University Health Sciences Center
9,University of Houston,Texas,56000,103900,50,24,University Houston
10,The University of Texas Medical Branch,Texas,61100,103100,87,3,University Texas Medical Branch
11,Trinity University,Texas,54900,102900,46,27,Trinity University
12,Baylor University,Texas,55500,101400,49,16,Baylor University
13,Lamar University,Texas,53300,101200,57,16,Lamar University
14,The University of Texas at Dallas,Texas,57100,100900,42,44,University Texas Dallas
15,The University of Texas Health Science Center at San Antonio,Texas,59400,100200,85,4,University Texas Health Science Center San Antonio
16,The University of Texas at Arlington,Texas,55400,99500,55,22,University Texas Arlington
17,Prairie View A&M University,Texas,57800,99400,65,22,Prairie View A&M University
18,LeTourneau University,Texas,56600,98900,53,21,LeTourneau University
19,Texas Christian University,Texas,56000,98700,51,9,Texas Christian University
20,Texas A&M University-Kingsville,Texas,53100,97500,63,53,Texas A&M University Kingsville
21,University of Dallas,Texas,53000,96400,49,16,University Dallas
22,St. Mary's University,Texas,52900,95300,61,17,St. Mary's University
23,University of Houston-Clear Lake,Texas,50700,94800,48,29,University Houston Clear Lake
24,Amberton University,Texas,52800,93600,57,0,Amberton University
25,Southwestern University,Texas,51800,93500,51,19,Southwestern University
1,Brigham Young University-Provo,Utah,59200,108000,60,25,Brigham Young University Provo
2,University of Utah,Utah,54800,102600,57,22,University Utah
3,Weber State University,Utah,53900,94000,60,8,Weber State University
4,Utah State University,Utah,52400,93900,61,14,Utah State University
5,Westminster College (Utah),Utah,51700,92200,55,10,Westminster College (Utah)
6,Western Governors University,Utah,54500,91500,57,9,Western Governors University
7,Utah Valley University,Utah,51100,90600,57,12,Utah Valley University
8,Southern Utah University,Utah,46400,84400,65,7,Southern Utah University
9,"Stevens-Henager College (Murray, Utah)",Utah,42400,76100,54,51,"Stevens Henager College (Murray, Utah)"
10,Independence University,Utah,40500,74100,78,2,Independence University
1,Middlebury College,Vermont,60400,109800,54,19,Middlebury College
2,University of Vermont,Vermont,53200,99400,50,22,University Vermont
3,Norwich University,Vermont,57000,99100,51,20,Norwich University
4,Saint Michael's College,Vermont,52900,98500,40,18,Saint Michael's College
5,Vermont Technical College,Vermont,52400,93900,41,4,Vermont Technical College
6,Bennington College,Vermont,48800,90000,50,5,Bennington College
7,Champlain College,Vermont,51100,88400,39,14,Champlain College
8,College of St Joseph,Vermont,47000,85000,72,0,College St Joseph
9,Southern Vermont College,Vermont,42900,78700,63,17,Southern Vermont College
10,Goddard College,Vermont,42700,76900,,0,Goddard College
11,Castleton University,Vermont,41700,76200,52,6,Castleton University
12,Green Mountain College,Vermont,42000,75200,57,2,Green Mountain College
13,Lyndon State College,Vermont,41500,75100,49,8,Lyndon State College
14,Johnson State College,Vermont,39500,72100,46,2,Johnson State College
1,Washington and Lee University,Virginia,65900,123200,40,18,Washington and Lee University
2,Virginia Military Institute,Virginia,65900,120600,68,47,Virginia Military Institute
3,University of Virginia-Main Campus,Virginia,64500,117500,46,23,University Virginia
4,Virginia Polytechnic Institute and State University,Virginia,62700,114000,48,42,Virginia Polytechnic Institute and State University
5,College of William and Mary,Virginia,59000,108900,42,21,College William and Mary
6,Hampden-Sydney College,Virginia,58300,108600,52,20,Hampden Sydney College
7,University of Richmond,Virginia,59800,107500,48,13,University Richmond
8,George Mason University,Virginia,58900,105700,48,23,George Mason University
9,James Madison University,Virginia,57400,102600,42,12,James Madison University
10,University of Mary Washington,Virginia,54200,98200,49,17,University Mary Washington
11,Jefferson College of Health Sciences,Virginia,55500,97600,86,1,Jefferson College Health Sciences
12,Marymount University,Virginia,52300,93100,44,15,Marymount University
13,Hampton University,Virginia,52700,92600,61,12,Hampton University
14,Old Dominion University,Virginia,50200,89900,52,19,Old Dominion University
15,Lynchburg College,Virginia,47700,89100,54,11,Lynchburg College
16,Virginia Commonwealth University,Virginia,49900,88200,52,18,Virginia Commonwealth University
17,Christopher Newport University,Virginia,50800,87200,55,25,Christopher Newport University
18,Shenandoah University,Virginia,48700,86600,57,7,Shenandoah University
19,Randolph College,Virginia,47000,86100,50,23,Randolph College
20,Roanoke College,Virginia,48500,85100,53,18,Roanoke College
21,Longwood University,Virginia,47300,83300,54,9,Longwood University
22,Radford University,Virginia,48900,82900,53,10,Radford University
23,The University of Virginia's College at Wise,Virginia,46500,82600,53,5,University Virginia's College Wise
24,Virginia State University,Virginia,44900,81800,61,14,Virginia State University
25,Ferrum College,Virginia,43000,80600,54,6,Ferrum College
1,Seattle University,Washington,60600,113700,59,12,Seattle University
2,University of Washington-Seattle Campus,Washington,61900,112300,51,34,University Washington Seattle
3,University of Washington-Bothell Campus,Washington,60200,108000,53,26,University Washington Bothell
4,Gonzaga University,Washington,57800,107600,51,19,Gonzaga University
5,Washington State University,Washington,55900,103700,50,20,Washington State University
6,Seattle Pacific University,Washington,53600,103400,52,9,Seattle Pacific University
7,Whitman College,Washington,54600,102600,53,33,Whitman College
8,University of Puget Sound,Washington,54200,101300,45,21,University Puget Sound
9,Western Washington University,Washington,55000,99300,45,16,Western Washington University
10,Pacific Lutheran University,Washington,54500,98100,53,20,Pacific Lutheran University
11,Walla Walla University,Washington,53700,97800,54,22,Walla Walla University
12,University of Washington-Tacoma Campus,Washington,56000,96800,50,23,University Washington Tacoma
13,City University of Seattle,Washington,51500,94600,54,4,City University Seattle
14,Central Washington University,Washington,52700,93200,47,13,Central Washington University
15,Saint Martin's University,Washington,53200,91800,60,29,Saint Martin's University
16,Northwest University,Washington,50900,89000,51,3,Northwest University
17,Whitworth University,Washington,49900,88800,52,18,Whitworth University
18,Bellevue College,Washington,50100,88500,56,14,Bellevue College
19,Whitworth University-Adult Degree Programs,Washington,50100,88100,,0,Whitworth University Adult Degree Programs
20,Eastern Washington University,Washington,49500,87500,52,17,Eastern Washington University
21,Cornish College of the Arts,Washington,49000,86400,39,0,Cornish College Arts
22,Bastyr University,Washington,48400,86300,,0,Bastyr University
23,The Evergreen State College,Washington,47500,83500,47,0,Evergreen State College
24,Clark College,Washington,43500,78400,,9,Clark College
25,Heritage University,Washington,41100,73600,,17,Heritage University
1,West Virginia University Institute of Technology,West Virginia,57100,103700,56,40,West Virginia University Institute Technology
2,West Virginia University,West Virginia,54400,99900,52,22,West Virginia University
3,Alderson Broaddus University,West Virginia,50600,90500,72,15,Alderson Broaddus University
4,Shepherd University,West Virginia,47100,87100,48,12,Shepherd University
5,West Virginia Wesleyan College,West Virginia,47000,85200,53,21,West Virginia Wesleyan College
6,Bethany College (West Virginia),West Virginia,46000,84900,63,5,Bethany College (West Virginia)
7,Wheeling Jesuit University,West Virginia,44800,83400,57,5,Wheeling Jesuit University
8,University of Charleston,West Virginia,44600,81900,51,4,University Charleston
9,Marshall University,West Virginia,45000,79700,50,12,Marshall University
10,West Liberty University,West Virginia,42500,77000,51,6,West Liberty University
11,Davis & Elkins College,West Virginia,41100,76500,43,10,Davis & Elkins College
12,West Virginia State University,West Virginia,41800,76000,46,8,West Virginia State University
13,Concord University,West Virginia,41700,75800,53,9,Concord University
14,Fairmont State University,West Virginia,42900,74100,53,7,Fairmont State University
15,Bluefield State College,West Virginia,43200,72800,60,3,Bluefield State College
16,Ohio Valley University,West Virginia,38800,71100,81,1,Ohio Valley University
17,Glenville State College,West Virginia,37400,67700,60,3,Glenville State College
18,West Virginia University at Parkersburg,West Virginia,36700,65200,67,3,West Virginia University Parkersburg
1,Milwaukee School of Engineering,Wisconsin,65700,117600,50,69,Milwaukee School Engineering
2,Marquette University,Wisconsin,57800,105900,52,25,Marquette University
3,University of Wisconsin-Madison,Wisconsin,57300,104400,48,33,University Wisconsin Madison
4,University of Wisconsin-Platteville,Wisconsin,56800,100300,50,38,University Wisconsin Platteville
5,Lawrence University,Wisconsin,51500,98800,58,25,Lawrence University
6,Bellin College,Wisconsin,55800,97600,94,0,Bellin College
7,University of Wisconsin-Eau Claire,Wisconsin,52100,93600,46,14,University Wisconsin Eau Claire
8,Marian University (Wisconsin),Wisconsin,46500,90800,52,2,Marian University (Wisconsin)
9,University of Wisconsin-Milwaukee,Wisconsin,50600,90300,50,17,University Wisconsin Milwaukee
10,Ripon College,Wisconsin,46300,89600,60,26,Ripon College
11,University of Wisconsin-Stout,Wisconsin,50400,89500,47,14,University Wisconsin Stout
12,University of Wisconsin-Whitewater,Wisconsin,48900,89300,44,8,University Wisconsin Whitewater
13,Saint Norbert College,Wisconsin,49300,88700,40,15,Saint Norbert College
14,University of Wisconsin-La Crosse,Wisconsin,49600,88300,53,19,University Wisconsin La Crosse
15,Edgewood College,Wisconsin,49500,87500,54,5,Edgewood College
16,Carroll University,Wisconsin,45600,86500,49,14,Carroll University
17,Beloit College,Wisconsin,47400,85700,59,24,Beloit College
18,Carthage College,Wisconsin,48900,85400,48,17,Carthage College
19,University of Wisconsin-Oshkosh,Wisconsin,47700,84300,52,10,University Wisconsin Oshkosh
20,Cardinal Stritch University,Wisconsin,47000,82500,51,2,Cardinal Stritch University
20,Wisconsin Lutheran College,Wisconsin,46200,82500,45,10,Wisconsin Lutheran College
22,Viterbo University,Wisconsin,46800,81900,62,3,Viterbo University
23,Concordia University-Wisconsin,Wisconsin,46700,81600,61,9,Concordia University Wisconsin
24,University of Wisconsin-Parkside,Wisconsin,46000,81400,47,17,University Wisconsin Parkside
25,University of Wisconsin-River Falls,Wisconsin,47100,81300,52,14,University Wisconsin River Falls
1,University of Wyoming,Wyoming,52400,98800,58,25,University Wyoming
