Name,University_Name_Clean,State,State_Code,Type,Degree_Length,Room_And_Board,In_State_Tuition,In_State_Total,Out_Of_State_Tuition,Out_Of_State_Total
Maine College of Art,Maine College Art,Maine,ME,Private,4 Year,11890,35000,46890,35000,46890
Maine College of Health Professions,Maine College Health Professions,Maine,ME,Private,2 Year,1900,9310,11210,9310,11210
Maine Maritime Academy,Maine Maritime Academy,Maine,ME,Public,4 Year,10310,13478,23788,27098,37408
Malone University,Malone University,Ohio,OH,Private,4 Year,9500,30860,40360,30860,40360
Manchester Community College,Manchester Community College,New Hampshire,NH,Public,2 Year,,7050,7050,15300,15300
Manchester Community College,Manchester Community College,Connecticut,CT,Public,2 Year,,4424,4424,13192,13192
Manchester University,Manchester University,Indiana,IN,Private,4 Year,9580,32758,42338,32758,42338
Manhattan Area Technical College,Manhattan Area Technical College,Kansas,KS,Public,2 Year,,6000,6000,6000,6000
Manhattan Christian College,Manhattan Christian College,Kansas,KS,Private,4 Year,9092,15850,24942,15850,24942
Manhattan College,Manhattan College,New York,NY,Private,4 Year,16200,43480,59680,43480,59680
Manhattan School of Music,Manhattan School Music,New York,NY,Private,4 Year,13135,47300,60435,47300,60435
Manhattanville College,Manhattanville College,New York,NY,Private,4 Year,14520,38820,53340,38820,53340
Manor College,Manor College,Pennsylvania,PA,Private,2 Year,7729,17028,24757,17028,24757
Mansfield University of Pennsylvania,Mansfield University Pennsylvania,Pennsylvania,PA,Public,4 Year,11928,12330,24258,21780,33708
Manthano Christian College,Manthano Christian College,Michigan,MI,Private,4 Year,,7050,7050,7050,7050
Maranatha Baptist University,Maranatha Baptist University,Wisconsin,WI,Private,4 Year,7100,15410,22510,15410,22510
Maria College,Maria College,New York,NY,Private,2 Year,,15140,15140,15140,15140
Marietta College,Marietta College,Ohio,OH,Private,4 Year,11320,36040,47360,36040,47360
Marion Military Institute,Marion Military Institute,Alabama,AL,Public,2 Year,4950,9418,14368,15418,20368
Marion Technical College,Marion Technical College,Ohio,OH,Public,2 Year,,5282,5282,7202,7202
Marist College,Marist College,New York,NY,Private,4 Year,15550,39600,55150,39600,55150
Marlboro College,Marlboro College,Vermont,VT,Private,4 Year,12285,40840,53125,40840,53125
Marquette University,Marquette University,Wisconsin,WI,Private,4 Year,12720,41870,54590,41870,54590
Mars Hill University,Mars Hill University,North Carolina,NC,Private,4 Year,9592,32968,42560,32968,42560
Marshall University,Marshall University,West Virginia,WV,Public,4 Year,10450,8128,18578,18614,29064
Marshalltown Community College,Marshalltown Community College,Iowa,IA,Public,2 Year,,5970,5970,6390,6390
Martin Community College,Martin Community College,North Carolina,NC,Public,2 Year,,2318,2318,8078,8078
Martin Luther College,Martin Luther College,Minnesota,MN,Private,4 Year,6080,15410,21490,15410,21490
Martin Methodist College,Martin Methodist College,Tennessee,TN,Private,4 Year,8400,24246,32646,24246,32646
Martin University,Martin University,Indiana,IN,Private,4 Year,7810,16500,24310,16500,24310
Mary Baldwin University,Mary Baldwin University,Virginia,VA,Private,4 Year,9410,31085,40495,31085,40495
Marygrove College,Marygrove College,Michigan,MI,Private,4 Year,7800,23630,31430,23630,31430
Maryland Institute College of Art,Maryland Institute College Art,Maryland,MD,Private,4 Year,13280,48630,61910,48630,61910
Marylhurst University,Marylhurst University,Oregon,OR,Private,4 Year,,20835,20835,20835,20835
Marymount California University,Marymount California University,California,CA,Private,4 Year,14666,36134,50800,36134,50800
Marymount Manhattan College,Marymount Manhattan College,New York,NY,Private,4 Year,16832,33778,50610,33778,50610
Marymount University,Marymount University,Virginia,VA,Private,4 Year,13190,31466,44656,31466,44656
Maryville College,Maryville College,Tennessee,TN,Private,4 Year,11424,34880,46304,34880,46304
Maryville University of Saint Louis,Maryville University Saint Louis,Missouri,MO,Private,4 Year,10088,28470,38558,28470,38558
Marywood University,Marywood University,Pennsylvania,PA,Private,4 Year,13900,34910,48810,34910,48810
Massachusetts Bay Community College,Massachusetts Bay Community College,Massachusetts,MA,Public,2 Year,,6360,6360,12540,12540
Massachusetts College of Art and Design,Massachusetts College Art and Design,Massachusetts,MA,Public,4 Year,13500,13200,26700,36400,49900
Massachusetts College of Liberal Arts,Massachusetts College Liberal Arts,Massachusetts,MA,Public,4 Year,10980,10734,21714,19679,30659
Massachusetts Institute of Technology,Massachusetts Institute Technology,Massachusetts,MA,Private,4 Year,15510,51832,67342,51832,67342
Massachusetts Maritime Academy,Massachusetts Maritime Academy,Massachusetts,MA,Public,4 Year,12675,9724,22399,26102,38777
Massasoit Community College,Massasoit Community College,Massachusetts,MA,Public,2 Year,,6030,6030,12210,12210
Mayland Community College,Mayland Community College,North Carolina,NC,Public,2 Year,,2409,2409,8169,8169
Maysville Community and Technical College,Maysville Community and Technical College,Kentucky,KY,Public,2 Year,,5310,5310,18000,18000
Mayville State University,Mayville State University,North Dakota,ND,Public,4 Year,7840,6666,14506,9399,17239
McDaniel College,McDaniel College,Maryland,MD,Private,4 Year,11430,43260,54690,43260,54690
McDowell Technical Community College,McDowell Technical Community College,North Carolina,NC,Public,2 Year,,2333,2333,8093,8093
McHenry County College,McHenry County College,Illinois,IL,Public,2 Year,,3494,3494,14603,14603
McKendree University,McKendree University,Illinois,IL,Private,4 Year,9920,30520,40440,30520,40440
McLennan Community College,McLennan Community College,Texas,TX,Public,2 Year,,3450,3450,5700,5700
McMurry University,McMurry University,Texas,TX,Private,4 Year,8602,27244,35846,27244,35846
McNally Smith College of Music,McNally Smith College Music,Minnesota,MN,Private,4 Year,6260,29300,35560,29300,35560
McNeese State University,McNeese State University,Louisiana,LA,Public,4 Year,8704,7859,16563,18934,27638
McPherson College,McPherson College,Kansas,KS,Private,4 Year,8788,28951,37739,28951,37739
MCPHS University,MCPHS University,Massachusetts,MA,Private,4 Year,16400,32705,49105,32705,49105
Medaille College,Medaille College,New York,NY,Private,4 Year,13500,29500,43000,29500,43000
Medaille College: Rochester,Medaille College Rochester,New York,NY,Private,4 Year,,29500,29500,29500,29500
Medical University of South Carolina,Medical University South Carolina,South Carolina,SC,Public,4 Year,,26826,26826,26826,26826
Memphis College of Art,Memphis College Art,Tennessee,TN,Private,4 Year,8890,33100,41990,33100,41990
Mendocino College,Mendocino College,California,CA,Public,2 Year,,1420,1420,9160,9160
Menlo College,Menlo College,California,CA,Private,4 Year,14225,42800,57025,42800,57025
Merced College,Merced College,California,CA,Public,2 Year,,1436,1436,9176,9176
Mercer County Community College,Mercer County Community College,New Jersey,NJ,Public,2 Year,,5257,5257,9547,9547
Mercer University,Mercer University,Georgia,GA,Private,4 Year,11616,36894,48510,36894,48510
Mercy College,Mercy College,New York,NY,Private,4 Year,14400,19042,33442,19042,33442
Mercy College of Health Sciences,Mercy College Health Sciences,Iowa,IA,Private,4 Year,,17752,17752,17752,17752
Mercy College of Ohio,Mercy College Ohio,Ohio,OH,Private,4 Year,,15240,15240,15240,15240
Mercyhurst University,Mercyhurst University,Pennsylvania,PA,Private,4 Year,12880,38070,50950,38070,50950
Meredith College,Meredith College,North Carolina,NC,Private,4 Year,10930,37176,48106,37176,48106
Meridian Community College,Meridian Community College,Mississippi,MS,Public,2 Year,,3015,3015,3995,3995
Merrimack College,Merrimack College,Massachusetts,MA,Private,4 Year,15845,41760,57605,41760,57605
Merritt College,Samuel Merritt University,California,CA,Public,2 Year,,1420,1420,9610,9610
Mesa Community College,Mesa Community College,Arizona,AZ,Public,2 Year,,2565,2565,9795,9795
Mesabi Range College,Mesabi Range College,Minnesota,MN,Public,2 Year,5526,5084,10610,6266,11792
Mesalands Community College,Mesalands Community College,New Mexico,NM,Public,2 Year,3975,2250,6225,3630,7605
Mesivta Torah Vodaath Seminary,Mesivta Torah Vodaath Seminary,New York,NY,Private,4 Year,4500,10000,14500,10000,14500
Messiah College,Messiah College,Pennsylvania,PA,Private,4 Year,10520,35160,45680,35160,45680
Methodist College,Methodist College,Illinois,IL,Private,4 Year,7440,20800,28240,20800,28240
Methodist University,Methodist University,North Carolina,NC,Private,4 Year,12890,33846,46736,33846,46736
Metropolitan College of New York,Metropolitan College New York,New York,NY,Private,4 Year,,19454,19454,19454,19454
Metropolitan Community College,Metropolitan Community College,Nebraska,NE,Public,2 Year,6255,3105,9360,4545,10800
Metropolitan Community College - Kansas City,Metropolitan Community College  Kansas City,Missouri,MO,Public,2 Year,,3090,3090,7110,7110
Metropolitan State University,Metropolitan State University,Minnesota,MN,Public,4 Year,,7879,7879,14980,14980
Metropolitan State University of Denver,Metropolitan State University Denver,Colorado,CO,Public,4 Year,,7665,7665,20847,20847
Miami Dade College,Miami Dade College,Florida,FL,Public,2 Year,,3547,3547,12075,12075
Miami University: Hamilton,Miami University Hamilton,Ohio,OH,Public,2 Year,,5880,5880,16472,16472
Miami University: Middletown,Miami University Middletown,Ohio,OH,Public,2 Year,,5880,5880,16472,16472
Miami University: Oxford,Miami University Oxford,Ohio,OH,Public,4 Year,13860,15378,29238,34895,48755
Michigan Jewish Institute,Michigan Jewish Institute,Michigan,MI,Private,4 Year,,10600,10600,10600,10600
Michigan State University,Michigan State University,Michigan,MI,Public,4 Year,10322,14460,24782,39765,50087
Michigan Technological University,Michigan Technological University,Michigan,MI,Public,4 Year,10756,15646,26402,33726,44482
Mid Michigan Community College,Mid Michigan Community College,Michigan,MI,Public,2 Year,,4744,4744,7080,7080
Mid-America Christian University,Mid America Christian University,Oklahoma,OK,Private,4 Year,8036,18334,26370,18334,26370
Mid-America College of Funeral Service,Mid America College Funeral Service,Indiana,IN,Private,2 Year,,15600,15600,15600,15600
Mid-Atlantic Christian University,Mid Atlantic Christian University,North Carolina,NC,Private,4 Year,8600,14400,23000,14400,23000
Mid-Plains Community College,Mid Plains Community College,Nebraska,NE,Public,2 Year,6450,3210,9660,4130,10580
Mid-State Technical College,Mid State Technical College,Wisconsin,WI,Public,2 Year,,4026,4026,6039,6039
MidAmerica Nazarene University,MidAmerica Nazarene University,Kansas,KS,Private,4 Year,8708,30736,39444,30736,39444
Middle Georgia State University,Middle Georgia State University,Georgia,GA,Public,4 Year,9080,4608,13688,13568,22648
Middle Tennessee State University,Middle Tennessee State University,Tennessee,TN,Public,4 Year,9436,9206,18642,28364,37800
Middlebury College,Middlebury College,Vermont,VT,Private,4 Year,15530,54450,69980,54450,69980
Middlesex Community College,Middlesex Community College,Connecticut,CT,Public,2 Year,,4404,4404,13172,13172
Middlesex Community College,Middlesex Community College,Massachusetts,MA,Public,2 Year,,6450,6450,12630,12630
Middlesex County College,Middlesex County College,New Jersey,NJ,Public,2 Year,,4410,4410,4410,4410
Midland College,Midland College,Texas,TX,Public,2 Year,5224,2670,7894,5550,10774
Midland University,Midland University,Nebraska,NE,Private,4 Year,8776,32558,41334,32558,41334
Midlands Technical College,Midlands Technical College,South Carolina,SC,Public,2 Year,,5598,5598,16278,16278
Midstate College,Midstate College,Illinois,IL,For Profit,4 Year,,10820,10820,10820,10820
Midway University,Midway University,Kentucky,KY,Private,4 Year,8480,24650,33130,24650,33130
Midwest University,Midwest University,Missouri,MO,Private,4 Year,,7770,7770,7770,7770
Midwestern State University,Midwestern State University,Texas,TX,Public,4 Year,8877,9019,17896,10969,19846
Mildred Elley: Albany,Mildred Elley Albany,New York,NY,For Profit,2 Year,,15000,15000,15000,15000
Mildred Elley: New York City,Mildred Elley New York City,New York,NY,For Profit,2 Year,,13500,13500,13500,13500
Miles College,Miles College,Alabama,AL,Private,4 Year,7042,11604,18646,11604,18646
Miles Community College,Miles Community College,Montana,MT,Public,2 Year,6280,4230,10510,8820,15100
Millersville University of Pennsylvania,Millersville University Pennsylvania,Pennsylvania,PA,Public,4 Year,13658,12226,25884,21946,35604
Milligan College,Milligan College,Tennessee,TN,Private,4 Year,7100,33700,40800,33700,40800
Millikin University,Millikin University,Illinois,IL,Private,4 Year,11818,35102,46920,35102,46920
Mills College,Mills College,California,CA,Private,4 Year,13448,30257,43705,30257,43705
Millsaps College,Millsaps College,Mississippi,MS,Private,4 Year,13730,39910,53640,39910,53640
Milwaukee Area Technical College,Milwaukee Area Technical College,Wisconsin,WI,Public,2 Year,,4515,4515,6528,6528
Milwaukee Institute of Art & Design,Milwaukee Institute Art & Design,Wisconsin,WI,Private,4 Year,9300,37360,46660,37360,46660
Milwaukee School of Engineering,Milwaukee School Engineering,Wisconsin,WI,Private,4 Year,10389,40749,51138,40749,51138
Mineral Area College,Mineral Area College,Missouri,MO,Public,2 Year,7420,3670,11090,6430,13850
Minneapolis College of Art and Design,Minneapolis College Art and Design,Minnesota,MN,Private,4 Year,5610,39210,44820,39210,44820
Minneapolis Community and Technical College,Minneapolis Community and Technical College,Minnesota,MN,Public,2 Year,11058,5396,16454,5396,16454
Minnesota State College - Southeast Technical,Minnesota State College  Southeast Technical,Minnesota,MN,Public,2 Year,,5628,5628,5628,5628
Minnesota State Community and Technical College,Minnesota State Community and Technical College,Minnesota,MN,Public,2 Year,5000,5358,10358,5358,10358
Minnesota State University Mankato,Minnesota State University Mankato,Minnesota,MN,Public,4 Year,8719,8184,16903,16235,24954
Minnesota State University Moorhead,Minnesota State University Moorhead,Minnesota,MN,Public,4 Year,9280,8574,17854,15983,25263
Minnesota West Community and Technical College,Minnesota West Community and Technical College,Minnesota,MN,Public,2 Year,,5692,5692,5692,5692
Minot State University,Minot State University,North Dakota,ND,Public,4 Year,6610,7064,13674,7064,13674
MiraCosta College,MiraCosta College,California,CA,Public,2 Year,,1428,1428,8448,8448
Mirrer Yeshiva Central Institute,Mirrer Yeshiva Central Institute,New York,NY,Private,4 Year,6172,7260,13432,7260,13432
Misericordia University,Misericordia University,Pennsylvania,PA,Private,4 Year,13960,33240,47200,33240,47200
Mission College,Mission College,California,CA,Public,2 Year,,1572,1572,9312,9312
Mississippi College,Mississippi College,Mississippi,MS,Private,4 Year,10300,18026,28326,18026,28326
Mississippi Delta Community College,Mississippi Delta Community College,Mississippi,MS,Public,2 Year,3480,3060,6540,4668,8148
Mississippi Gulf Coast Community College,Mississippi Gulf Coast Community College,Mississippi,MS,Public,2 Year,4700,3320,8020,6420,11120
Mississippi State University,Mississippi State University,Mississippi,MS,Public,4 Year,10090,8760,18850,23360,33450
Mississippi University for Women,Mississippi University for Women,Mississippi,MS,Public,4 Year,7424,7040,14464,7040,14464
Mississippi Valley State University,Mississippi Valley State University,Mississippi,MS,Public,4 Year,8043,6570,14613,6570,14613
Missouri Baptist University,Missouri Baptist University,Missouri,MO,Private,4 Year,8720,27124,35844,27124,35844
Missouri Southern State University,Missouri Southern State University,Missouri,MO,Public,4 Year,6865,6967,13832,13934,20799
Missouri State University,Missouri State University Springfield,Missouri,MO,Public,4 Year,8755,7452,16207,15342,24097
Missouri State University: West Plains,Missouri State University West Plains,Missouri,MO,Public,2 Year,8537,4305,12842,8355,16892
Missouri University of Science and Technology,Missouri University Science and Technology,Missouri,MO,Public,4 Year,10274,10169,20443,28499,38773
Missouri Valley College,Missouri Valley College,Missouri,MO,Private,4 Year,9150,20600,29750,20600,29750
Missouri Western State University,Missouri Western State University,Missouri,MO,Public,4 Year,,6466,6466,14137,14137
Mitchell College,Mitchell College,Connecticut,CT,Private,4 Year,13000,33200,46200,33200,46200
Mitchell Community College,Mitchell Community College,North Carolina,NC,Public,2 Year,,2348,2348,8108,8108
Mitchell Technical Institute,Mitchell Technical Institute,South Dakota,SD,Public,2 Year,,6300,6300,6300,6300
Moberly Area Community College,Moberly Area Community College,Missouri,MO,Public,2 Year,7872,3450,11322,6840,14712
Modesto Junior College,Modesto Junior College,California,CA,Public,2 Year,,1416,1416,9156,9156
Mohave Community College,Mohave Community College,Arizona,AZ,Public,2 Year,,2640,2640,8715,8715
Mohawk Valley Community College,Mohawk Valley Community College,New York,NY,Public,2 Year,10470,5256,15726,9626,20096
Molloy College,Molloy College,New York,NY,Private,4 Year,15032,31490,46522,31490,46522
Monmouth College,Monmouth College,Illinois,IL,Private,4 Year,8966,37674,46640,37674,46640
Monmouth University,Monmouth University,New Jersey,NJ,Private,4 Year,13981,38138,52119,38138,52119
Monroe College,Monroe College,New York,NY,For Profit,4 Year,10850,15428,26278,15428,26278
Monroe Community College,Monroe Community College,New York,NY,Public,2 Year,6780,4986,11766,9466,16246
Monroe County Community College,Monroe County Community College,Michigan,MI,Public,2 Year,,3965,3965,7175,7175
Montana Bible College,Montana Bible College,Montana,MT,Private,4 Year,3200,8120,11320,8120,11320
Montana State University,Montana State University,Montana,MT,Public,4 Year,10100,7421,17521,24849,34949
Montana State University: Billings,Montana State University Billings,Montana,MT,Public,4 Year,7680,5930,13610,19250,26930
Montana State University: Northern,Montana State University Northern,Montana,MT,Public,4 Year,6520,5956,12476,18556,25076
Montana Tech of the University of Montana,Montana Tech University Montana,Montana,MT,Public,4 Year,9656,7411,17067,22574,32230
Montcalm Community College,Montcalm Community College,Michigan,MI,Public,2 Year,,4530,4530,11280,11280
Montclair State University,Montclair State University,New Jersey,NJ,Public,4 Year,15564,12790,28354,20578,36142
Monterey Peninsula College,Monterey Peninsula College,California,CA,Public,2 Year,,1450,1450,9190,9190
Montgomery College Rockville,Montgomery College Rockville,Maryland,MD,Public,2 Year,,5178,5178,13602,13602
Montgomery Community College,Montgomery Community College,North Carolina,NC,Public,2 Year,,2385,2385,8145,8145
Montgomery County Community College,Montgomery County Community College,Pennsylvania,PA,Public,2 Year,,5730,5730,14970,14970
Montreat College,Montreat College,North Carolina,NC,Private,4 Year,9149,26670,35819,26670,35819
Montserrat College of Art,Montserrat College Art,Massachusetts,MA,Private,4 Year,9900,33400,43300,33400,43300
Moody Bible Institute,Moody Bible Institute,Illinois,IL,Private,4 Year,11820,13565,25385,13565,25385
Moore College of Art and Design,Moore College Art and Design,Pennsylvania,PA,Private,4 Year,15564,41728,57292,41728,57292
Moorpark College,Moorpark College,California,CA,Public,2 Year,,1448,1448,9248,9248
Moraine Park Technical College,Moraine Park Technical College,Wisconsin,WI,Public,2 Year,,4065,4065,4065,4065
Moraine Valley Community College,Moraine Valley Community College,Illinois,IL,Public,2 Year,,4356,4356,11196,11196
Moravian College,Moravian College,Pennsylvania,PA,Private,4 Year,13378,43636,57014,43636,57014
Morehead State University,Morehead State University,Kentucky,KY,Public,4 Year,9960,9170,19130,13646,23606
Morehouse College,Morehouse College,Georgia,GA,Private,4 Year,13438,27574,41012,27574,41012
Moreno Valley College,Moreno Valley College,California,CA,Public,2 Year,,1416,1416,8436,8436
Morgan Community College,Morgan Community College,Colorado,CO,Public,2 Year,,4645,4645,18505,18505
Morgan State University,Morgan State University,Maryland,MD,Public,4 Year,10260,7900,18160,18167,28427
Morningside College,Morningside College,Iowa,IA,Private,4 Year,9610,31530,41140,31530,41140
Morris College,Morris College,South Carolina,SC,Private,4 Year,6033,13886,19919,13886,19919
Morrison Institute of Technology,Morrison Institute Technology,Illinois,IL,Private,2 Year,5200,16100,21300,16100,21300
Morton College,Morton College,Illinois,IL,Public,2 Year,,4080,4080,9840,9840
Motlow State Community College,Motlow State Community College,Tennessee,TN,Public,2 Year,,4445,4445,13211,13211
Mott Community College,Mott Community College,Michigan,MI,Public,2 Year,,5030,5030,8657,8657
Mount Aloysius College,Mount Aloysius College,Pennsylvania,PA,Private,4 Year,10648,23110,33758,23110,33758
Mount Carmel College of Nursing,Mount Carmel College Nursing,Ohio,OH,Private,4 Year,5000,13907,18907,13907,18907
Mount Holyoke College,Mount Holyoke College,Massachusetts,MA,Private,4 Year,14660,49998,64658,49998,64658
Mount Ida College,Mount Ida College,Massachusetts,MA,Private,4 Year,13680,35720,49400,35720,49400
Mount Marty College,Mount Marty College,South Dakota,SD,Private,4 Year,7986,27276,35262,27276,35262
Mount Mary University,Mount Mary University,Wisconsin,WI,Private,4 Year,8600,30100,38700,30100,38700
Mount Mercy University,Mount Mercy University,Iowa,IA,Private,4 Year,9534,31798,41332,31798,41332
Mount Saint Mary College,Mount Saint Mary College,New York,NY,Private,4 Year,15108,31118,46226,31118,46226
Mount Saint Mary's University,Mount Saint Mary's University,California,CA,Private,4 Year,12235,41170,53405,41170,53405
Mount San Antonio College,Mount San Antonio College,California,CA,Public,2 Year,,1442,1442,9414,9414
Mount San Jacinto College,Mount San Jacinto College,California,CA,Public,2 Year,,1394,1394,10034,10034
Mount St. Joseph University,Mount St. Joseph University,Ohio,OH,Private,4 Year,9442,30100,39542,30100,39542
Mount St. Mary's University,Mount St. Mary's University,Maryland,MD,Private,4 Year,13075,41350,54425,41350,54425
Mount Vernon Nazarene University,Mount Vernon Nazarene University,Ohio,OH,Private,4 Year,8170,29244,37414,29244,37414
Mount Wachusett Community College,Mount Wachusett Community College,Massachusetts,MA,Public,2 Year,,6510,6510,12660,12660
Mountain Empire Community College,Mountain Empire Community College,Virginia,VA,Public,2 Year,,4710,4710,10638,10638
Mountain View College,Mountain View College,Texas,TX,Public,2 Year,,1770,1770,5220,5220
Mt. Hood Community College,Mt. Hood Community College,Oregon,OR,Public,2 Year,,5407,5407,10312,10312
Mt. Sierra College,Mt. Sierra College,California,CA,For Profit,4 Year,,15688,15688,15688,15688
MTI College,MTI College,California,CA,For Profit,2 Year,,15250,15250,15250,15250
Muhlenberg College,Muhlenberg College,Pennsylvania,PA,Private,4 Year,11765,52595,64360,52595,64360
Multnomah University,Multnomah University,Oregon,OR,Private,4 Year,8870,25900,34770,25900,34770
Murray State College,Murray State College,Oklahoma,OK,Public,2 Year,6800,4820,11620,10970,17770
Murray State University,Murray State University,Kentucky,KY,Public,4 Year,9190,9084,18274,24540,33730
Muscatine Community College,Muscatine Community College,Iowa,IA,Public,2 Year,,4860,4860,6870,6870
Muskegon Community College,Muskegon Community College,Michigan,MI,Public,2 Year,,4515,4515,10020,10020
Muskingum University,Muskingum University,Ohio,OH,Private,4 Year,11480,28516,39996,28516,39996
Myotherapy Institute,Myotherapy Institute,Nebraska,NE,For Profit,2 Year,,11225,11225,11225,11225
Napa Valley College,Napa Valley College,California,CA,Public,2 Year,,1414,1414,9154,9154
Naropa University,Naropa University,Colorado,CO,Private,4 Year,12849,31790,44639,31790,44639
Nash Community College,Nash Community College,North Carolina,NC,Public,2 Year,,2900,2900,9700,9700
Nashua Community College,Nashua Community College,New Hampshire,NH,Public,2 Year,,7140,7140,15030,15030
Nashville State Community College,Nashville State Community College,Tennessee,TN,Public,2 Year,,4395,4395,17301,17301
Nassau Community College,Nassau Community College,New York,NY,Public,2 Year,,5880,5880,11230,11230
National Paralegal College,National Paralegal College,Arizona,AZ,For Profit,4 Year,,7995,7995,7995,7995
National Park College,National Park College,Arkansas,AR,Public,2 Year,,2700,2700,4110,4110
National University,National University,California,CA,Private,4 Year,,16710,16710,16710,16710
National University of Health Sciences,National University Health Sciences,Illinois,IL,Private,4 Year,,12609,12609,12609,12609
National-Louis University,National Louis University,Illinois,IL,Private,4 Year,,10710,10710,10710,10710
Naugatuck Valley Community College,Naugatuck Valley Community College,Connecticut,CT,Public,2 Year,,4404,4404,13172,13172
Navajo Technical University,Navajo Technical University,New Mexico,NM,Public,2 Year,6270,2360,8630,2360,8630
Navarro College,Navarro College,Texas,TX,Public,2 Year,5618,2400,8018,5400,11018
Nazarene Bible College,Nazarene Bible College,Colorado,CO,Private,4 Year,,14700,14700,14700,14700
Nazareth College,Nazareth College,New York,NY,Private,4 Year,13580,34280,47860,34280,47860
Nebraska Christian College,Nebraska Christian College,Nebraska,NE,Private,4 Year,9020,17665,26685,17665,26685
Nebraska College of Technical Agriculture,Nebraska College Technical Agriculture,Nebraska,NE,Public,2 Year,7418,5036,12454,5036,12454
Nebraska Indian Community College,Nebraska Indian Community College,Nebraska,NE,Public,2 Year,,5125,5125,5125,5125
Nebraska Methodist College of Nursing and Allied Health,Nebraska Methodist College Nursing & Allied Health,Nebraska,NE,Private,4 Year,9586,18048,27634,18048,27634
Nebraska Wesleyan University,Nebraska Wesleyan University,Nebraska,NE,Private,4 Year,9622,34202,43824,34202,43824
Neosho County Community College,Neosho County Community College,Kansas,KS,Public,2 Year,6100,3120,9220,3120,9220
Ner Israel Rabbinical College,Ner Israel Rabbinical College,Maryland,MD,Private,4 Year,6600,12400,19000,12400,19000
Neumann University,Neumann University,Pennsylvania,PA,Private,4 Year,13020,31400,44420,31400,44420
Neumont College of Computer Science,Neumont College Computer Science,Utah,UT,For Profit,4 Year,5970,24750,30720,24750,30720
Nevada State College,Nevada State College,Nevada,NV,Public,4 Year,,5438,5438,17458,17458
New Charter University,New Charter University,California,CA,For Profit,4 Year,,2691,2691,2691,2691
New College of Florida,New College Florida,Florida,FL,Public,4 Year,9264,6919,16183,29944,39208
New England College,New England College,New Hampshire,NH,Private,4 Year,14222,37914,52136,37914,52136
New England Conservatory of Music,New England Conservatory Music,Massachusetts,MA,Private,4 Year,15900,48750,64650,48750,64650
New England Culinary Institute,New England Culinary Institute,Vermont,VT,For Profit,2 Year,10466,22210,32676,22210,32676
New England Institute of Technology,New England Institute Technology,Rhode Island,RI,Private,4 Year,13065,29940,43005,29940,43005
New Hampshire Institute of Art,New Hampshire Institute Art,New Hampshire,NH,Private,4 Year,11460,28280,39740,28280,39740
New Hope Christian College,New Hope Christian College Eugene,Oregon,OR,Private,4 Year,6300,14880,21180,14880,21180
New Jersey City University,New Jersey City University,New Jersey,NJ,Public,4 Year,12738,12051,24789,21573,34311
New Jersey Institute of Technology,New Jersey Institute Technology,New Jersey,NJ,Public,4 Year,13600,17338,30938,32750,46350
New Mexico Highlands University,New Mexico Highlands University,New Mexico,NM,Public,4 Year,7872,6150,14022,10302,18174
New Mexico Institute of Mining and Technology,New Mexico Institute Mining and Technology,New Mexico,NM,Public,4 Year,8510,7770,16280,22268,30778
New Mexico Junior College,New Mexico Junior College,New Mexico,NM,Public,2 Year,4350,1452,5802,2196,6546
New Mexico Military Institute,New Mexico Military Institute,New Mexico,NM,Public,2 Year,5576,6797,12373,14469,20045
New Mexico State University,New Mexico State University,New Mexico,NM,Public,4 Year,9252,7368,16620,23508,32760
New Mexico State University at Alamogordo,New Mexico State University Alamogordo,New Mexico,NM,Public,2 Year,,2064,2064,5376,5376
New Mexico State University at Carlsbad,New Mexico State University Carlsbad,New Mexico,NM,Public,2 Year,,1376,1376,1376,1376
New Mexico State University at Grants,New Mexico State University Grants,New Mexico,NM,Public,2 Year,536,2064,2600,4104,4640
New Orleans Baptist Theological Seminary,New Orleans Baptist Theological Seminary,Louisiana,LA,Private,4 Year,2625,7775,10400,7775,10400
New River Community and Technical College,New River Community and Technical College,West Virginia,WV,Public,2 Year,,4526,4526,7140,7140
New River Community College,New River Community College,Virginia,VA,Public,2 Year,,4697,4697,10703,10703
New Saint Andrews College,New Saint Andrews College,Idaho,ID,Private,4 Year,,12800,12800,12800,12800
New York Institute of Technology,New York Institute Technology,New York,NY,Private,4 Year,14290,36890,51180,36890,51180
New York School of Interior Design,New York School Interior Design,New York,NY,Private,4 Year,21300,30834,52134,30834,52134
New York University,New York University,New York,NY,Private,4 Year,18156,51828,69984,51828,69984
Newberry College,Newberry College,South Carolina,SC,Private,4 Year,10666,26424,37090,26424,37090
Newbury College,Newbury College,Massachusetts,MA,Private,4 Year,14900,35540,50440,35540,50440
Newman University,Newman University,Kansas,KS,Private,4 Year,8326,30724,39050,30724,39050
NHTI-Concord's Community College,NHTI Concord's Community College,New Hampshire,NH,Public,2 Year,9552,7200,16752,15450,25002
Niagara County Community College,Niagara County Community College,New York,NY,Public,2 Year,,5027,5027,11615,11615
Niagara University,Niagara University,New York,NY,Private,4 Year,13200,33180,46380,33180,46380
Nicholls State University,Nicholls State University,Louisiana,LA,Public,4 Year,9938,7982,17920,9075,19013
Nichols College,Nichols College,Massachusetts,MA,Private,4 Year,13950,34800,48750,34800,48750
Nicolet Area Technical College,Nicolet Area Technical College,Wisconsin,WI,Public,2 Year,,4404,4404,6437,6437
Norco College,Norco College,California,CA,Public,2 Year,,1416,1416,8436,8436
